date,ipc_level
2017-01-01,98.6
2017-02-01,98.8
2017-03-01,98.1
2017-04-01,98.4
2017-05-01,99.5
2017-06-01,100.5
2017-07-01,99.3
2017-08-01,99.7
2017-09-01,101.4
2017-10-01,101.0
2017-11-01,102.1
2017-12-01,102.7
2018-01-01,102.3
2018-02-01,101.1
2018-03-01,101.5
2018-04-01,102.4
2018-05-01,103.7
2018-06-01,104.2
2018-07-01,101.6
2018-08-01,101.7
2018-09-01,101.9
2018-10-01,100.8
2018-11-01,102.1
2018-12-01,100.9
2019-01-01,99.5
2019-02-01,99.2
2019-03-01,98.8
2019-04-01,100.0
2019-05-01,102.2
2019-06-01,102.6
2019-07-01,100.3
2019-08-01,101.2
2019-09-01,100.2
2019-10-01,100.6
2019-11-01,101.4
2019-12-01,101.5
2020-01-01,100.8
2020-02-01,100.6
2020-03-01,102.1
2020-04-01,102.9
2020-05-01,102.3
2020-06-01,100.8
2020-07-01,99.2
2020-08-01,102.6
2020-09-01,103.1
2020-10-01,103.3
2020-11-01,101.3
2020-12-01,99.8
2021-01-01,99.8
2021-02-01,99.6
2021-03-01,100.0
2021-04-01,103.0
2021-05-01,103.6
2021-06-01,101.4
2021-07-01,101.9
2021-08-01,101.5
2021-09-01,102.8
2021-10-01,104.3
2021-11-01,104.2
2021-12-01,104.3
2022-01-01,104.0
2022-02-01,105.1
2022-03-01,109.4
2022-04-01,112.7
2022-05-01,112.5
2022-06-01,112.6
2022-07-01,114.5
2022-08-01,116.3
2022-09-01,118.3
2022-10-01,119.2
2022-11-01,119.7
2022-12-01,120.5
2023-01-01,122.1
2023-02-01,127.0
2023-03-01,127.4
2023-04-01,131.7
2023-05-01,130.6
2023-06-01,127.4
2023-07-01,128.3
2023-08-01,128.6
2023-09-01,130.3
2023-10-01,129.9
2023-11-01,128.9
2023-12-01,128.7
2024-01-01,127.3
2024-02-01,126.4
2024-03-01,128.5
2024-04-01,129.8
2024-05-01,128.9
2024-06-01,129.5
2024-07-01,128.7
2024-08-01,131.1
2024-09-01,131.0
2024-10-01,130.3
2024-11-01,129.8
2024-12-01,129.5
