date,fao_food_index,fao_meat_index,fao_dairy_index,fao_cereals_index,fao_oils_index,fao_sugar_index,pulled_at
2010-01-01,101.8,86.0,109.0,98.4,107.1,163.8,2026-05-17T16:11:19.696170+00:00
2010-02-01,99.3,86.5,101.6,94.0,107.31,157.4,2026-05-17T16:11:19.696170+00:00
2010-03-01,96.5,87.5,101.6,91.8,110.33,115.5,2026-05-17T16:11:19.696170+00:00
2010-04-01,97.1,90.1,109.7,90.7,109.36,101.8,2026-05-17T16:11:19.696170+00:00
2010-05-01,96.4,90.1,111.8,90.6,107.17,94.1,2026-05-17T16:11:19.696170+00:00
2010-06-01,95.9,91.2,110.4,87.8,106.03,98.1,2026-05-17T16:11:19.696170+00:00
2010-07-01,100.0,92.0,112.8,95.3,110.13,107.9,2026-05-17T16:11:19.696170+00:00
2010-08-01,107.8,92.9,112.3,112.9,121.81,114.6,2026-05-17T16:11:19.696170+00:00
2010-09-01,114.1,92.5,116.0,125.9,124.85,138.7,2026-05-17T16:11:19.696170+00:00
2010-10-01,120.1,93.9,121.4,130.6,139.18,152.3,2026-05-17T16:11:19.696170+00:00
2010-11-01,124.2,96.4,118.7,132.4,153.87,162.8,2026-05-17T16:11:19.696170+00:00
2010-12-01,129.4,97.5,117.4,139.7,166.26,173.8,2026-05-17T16:11:19.696170+00:00
2011-01-01,133.8,97.9,122.8,144.9,174.49,183.2,2026-05-17T16:11:19.696170+00:00
2011-02-01,137.7,100.5,130.3,151.4,175.43,182.4,2026-05-17T16:11:19.696170+00:00
2011-03-01,134.3,103.6,135.8,145.5,163.11,162.4,2026-05-17T16:11:19.696170+00:00
2011-04-01,136.3,107.5,134.5,151.7,162.79,150.7,2026-05-17T16:11:19.696170+00:00
2011-05-01,135.1,108.0,134.2,150.9,162.4,136.2,2026-05-17T16:11:19.696170+00:00
2011-06-01,134.8,106.2,135.3,147.1,160.78,156.0,2026-05-17T16:11:19.696170+00:00
2011-07-01,133.0,105.8,133.6,140.5,156.05,174.6,2026-05-17T16:11:19.696170+00:00
2011-08-01,132.7,104.9,131.9,144.9,151.48,171.7,2026-05-17T16:11:19.696170+00:00
2011-09-01,130.1,106.1,127.1,140.5,147.82,165.3,2026-05-17T16:11:19.696170+00:00
2011-10-01,125.6,105.9,126.2,133.1,137.99,157.5,2026-05-17T16:11:19.696170+00:00
2011-11-01,125.9,107.8,125.1,130.9,144.96,148.2,2026-05-17T16:11:19.696170+00:00
2011-12-01,121.9,106.1,122.0,124.4,140.45,142.6,2026-05-17T16:11:19.696170+00:00
2012-01-01,122.2,102.6,120.3,127.2,144.33,145.8,2026-05-17T16:11:19.696170+00:00
2012-02-01,125.3,105.5,121.2,131.1,148.34,149.3,2026-05-17T16:11:19.696170+00:00
2012-03-01,125.7,106.2,118.1,130.6,152.47,149.1,2026-05-17T16:11:19.696170+00:00
2012-04-01,124.4,105.8,112.5,129.1,156.29,141.3,2026-05-17T16:11:19.696170+00:00
2012-05-01,119.0,103.7,105.5,126.3,144.4,128.5,2026-05-17T16:11:19.696170+00:00
2012-06-01,115.8,101.1,102.3,125.3,135.26,126.7,2026-05-17T16:11:19.696170+00:00
2012-07-01,122.0,99.8,99.7,143.9,138.56,141.4,2026-05-17T16:11:19.696170+00:00
2012-08-01,123.2,102.5,102.0,147.1,138.31,129.2,2026-05-17T16:11:19.696170+00:00
2012-09-01,125.1,106.7,111.0,146.8,136.93,123.7,2026-05-17T16:11:19.696170+00:00
2012-10-01,124.0,107.9,114.2,146.5,124.9,125.7,2026-05-17T16:11:19.696170+00:00
2012-11-01,123.5,107.4,114.9,148.5,121.52,119.7,2026-05-17T16:11:19.696170+00:00
2012-12-01,122.8,107.2,118.1,146.4,118.38,119.5,2026-05-17T16:11:19.696170+00:00
2013-01-01,123.4,106.6,121.0,145.2,124.28,116.8,2026-05-17T16:11:19.696170+00:00
2013-02-01,123.3,107.8,123.8,142.3,125.55,113.0,2026-05-17T16:11:19.696170+00:00
2013-03-01,122.9,108.2,128.0,139.9,122.38,114.3,2026-05-17T16:11:19.696170+00:00
2013-04-01,122.9,108.8,140.8,134.9,120.64,110.2,2026-05-17T16:11:19.696170+00:00
2013-05-01,122.2,105.7,140.0,136.4,121.05,109.1,2026-05-17T16:11:19.696170+00:00
2013-06-01,120.9,105.0,140.3,133.8,120.68,105.8,2026-05-17T16:11:19.696170+00:00
2013-07-01,118.0,104.7,141.0,126.4,116.22,104.2,2026-05-17T16:11:19.696170+00:00
2013-08-01,116.2,105.5,145.6,119.2,111.89,105.4,2026-05-17T16:11:19.696170+00:00
2013-09-01,116.4,106.0,149.0,116.7,112.92,107.5,2026-05-17T16:11:19.696170+00:00
2013-10-01,118.7,106.3,153.0,118.7,116.04,115.5,2026-05-17T16:11:19.696170+00:00
2013-11-01,118.6,105.4,151.9,118.0,121.97,109.3,2026-05-17T16:11:19.696170+00:00
2013-12-01,118.2,104.7,156.5,117.9,120.38,102.4,2026-05-17T16:11:19.696170+00:00
2014-01-01,116.2,103.2,156.2,117.0,115.58,96.7,2026-05-17T16:11:19.696170+00:00
2014-02-01,118.6,104.1,156.4,119.7,120.84,102.6,2026-05-17T16:11:19.696170+00:00
2014-03-01,122.1,106.3,154.8,125.4,125.38,110.8,2026-05-17T16:11:19.696170+00:00
2014-04-01,121.5,109.7,147.3,125.5,121.53,109.0,2026-05-17T16:11:19.696170+00:00
2014-05-01,121.2,111.7,141.8,125.2,119.18,113.1,2026-05-17T16:11:19.696170+00:00
2014-06-01,119.2,116.0,136.1,118.7,115.22,112.5,2026-05-17T16:11:19.696170+00:00
2014-07-01,116.3,117.4,130.2,112.2,110.63,113.0,2026-05-17T16:11:19.696170+00:00
2014-08-01,112.8,118.5,120.6,110.4,101.65,106.6,2026-05-17T16:11:19.696170+00:00
2014-09-01,109.2,117.5,110.8,107.4,98.55,99.5,2026-05-17T16:11:19.696170+00:00
2014-10-01,109.3,117.1,107.1,108.2,100.09,103.6,2026-05-17T16:11:19.696170+00:00
2014-11-01,108.1,114.8,102.6,109.3,100.85,100.2,2026-05-17T16:11:19.696170+00:00
2014-12-01,105.2,108.9,98.5,110.9,97.89,94.8,2026-05-17T16:11:19.696170+00:00
2015-01-01,101.0,104.6,92.4,105.9,95.0,95.0,2026-05-17T16:11:19.696170+00:00
2015-02-01,98.7,101.3,95.2,101.6,95.18,90.3,2026-05-17T16:11:19.696170+00:00
2015-03-01,95.7,97.1,95.1,99.5,92.62,82.0,2026-05-17T16:11:19.696170+00:00
2015-04-01,94.6,97.4,90.6,98.2,91.87,80.9,2026-05-17T16:11:19.696170+00:00
2015-05-01,95.0,99.6,89.9,95.7,94.49,82.6,2026-05-17T16:11:19.696170+00:00
2015-06-01,94.6,98.7,87.7,96.7,95.89,77.1,2026-05-17T16:11:19.696170+00:00
2015-07-01,93.8,99.0,82.2,98.9,90.43,79.0,2026-05-17T16:11:19.696170+00:00
2015-08-01,89.5,99.0,79.9,91.9,82.29,71.2,2026-05-17T16:11:19.696170+00:00
2015-09-01,88.9,96.7,83.2,90.5,81.96,73.4,2026-05-17T16:11:19.696170+00:00
2015-10-01,90.3,92.1,88.0,91.7,87.76,86.1,2026-05-17T16:11:19.696170+00:00
2015-11-01,87.7,89.2,80.5,90.5,85.13,90.0,2026-05-17T16:11:19.696170+00:00
2015-12-01,87.0,86.8,81.0,89.4,86.68,90.6,2026-05-17T16:11:19.696170+00:00
2016-01-01,84.9,84.4,79.4,87.6,85.29,86.9,2026-05-17T16:11:19.696170+00:00
2016-02-01,86.1,86.0,78.8,87.3,92.15,81.6,2026-05-17T16:11:19.696170+00:00
2016-03-01,87.4,86.1,76.7,86.5,97.34,95.5,2026-05-17T16:11:19.696170+00:00
2016-04-01,89.1,87.7,77.1,88.4,101.17,93.9,2026-05-17T16:11:19.696170+00:00
2016-05-01,90.6,90.2,72.7,91.1,99.56,104.8,2026-05-17T16:11:19.696170+00:00
2016-06-01,93.8,94.1,73.9,94.1,97.93,120.4,2026-05-17T16:11:19.696170+00:00
2016-07-01,93.0,95.3,76.0,90.4,94.9,121.6,2026-05-17T16:11:19.696170+00:00
2016-08-01,95.3,96.4,81.8,89.3,102.39,124.6,2026-05-17T16:11:19.696170+00:00
2016-09-01,96.1,94.9,90.9,86.3,104.32,132.9,2026-05-17T16:11:19.696170+00:00
2016-10-01,95.9,93.0,93.8,86.7,101.85,137.5,2026-05-17T16:11:19.696170+00:00
2016-11-01,96.0,93.9,94.5,86.0,106.16,125.2,2026-05-17T16:11:19.696170+00:00
2016-12-01,95.3,91.2,96.2,86.1,110.26,114.5,2026-05-17T16:11:19.696170+00:00
2017-01-01,97.8,92.2,98.6,88.7,112.19,125.8,2026-05-17T16:11:19.696170+00:00
2017-02-01,98.1,94.0,99.2,90.0,107.97,125.6,2026-05-17T16:11:19.696170+00:00
2017-03-01,96.2,95.4,100.6,87.9,101.59,111.9,2026-05-17T16:11:19.696170+00:00
2017-04-01,95.0,97.3,100.0,86.9,97.58,101.7,2026-05-17T16:11:19.696170+00:00
2017-05-01,97.3,99.3,104.8,88.3,101.96,99.4,2026-05-17T16:11:19.696170+00:00
2017-06-01,97.8,100.1,109.7,92.4,97.47,86.0,2026-05-17T16:11:19.696170+00:00
