date,inflation maroc,prix huile,hausse prix,credit consommation,chomage maroc,prix alimentaires,pouvoir achat,pulled_at
2017-01-01,5.0,25.0,0.0,31.0,29.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2017-02-01,0.0,30.0,0.0,45.0,24.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2017-03-01,5.0,25.0,0.0,37.0,19.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2017-04-01,5.0,18.0,0.0,39.0,26.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2017-05-01,0.0,23.0,0.0,37.0,24.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2017-06-01,7.0,28.0,0.0,50.0,11.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2017-07-01,6.0,34.0,0.0,41.0,10.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2017-08-01,0.0,41.0,0.0,42.0,7.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2017-09-01,0.0,35.0,0.0,33.0,11.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2017-10-01,0.0,27.0,0.0,34.0,28.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2017-11-01,8.0,35.0,0.0,37.0,22.0,5.333333333333333,0.0,2026-05-19T12:28:12.993422+00:00
2017-12-01,0.0,35.0,5.0,40.0,38.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2018-01-01,6.0,34.0,5.0,46.0,25.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2018-02-01,6.0,36.0,0.0,59.0,22.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2018-03-01,0.0,35.0,0.0,56.0,25.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2018-04-01,0.0,44.0,0.0,50.0,19.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2018-05-01,0.0,41.0,7.0,45.0,22.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2018-06-01,0.0,30.0,0.0,50.0,12.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2018-07-01,0.0,42.0,0.0,53.0,12.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2018-08-01,6.0,49.0,0.0,43.0,10.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2018-09-01,0.0,39.0,0.0,52.0,21.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2018-10-01,0.0,32.0,7.0,45.0,21.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2018-11-01,0.0,37.0,0.0,41.0,26.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2018-12-01,0.0,47.0,0.0,45.0,33.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2019-01-01,0.0,41.0,0.0,44.0,23.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2019-02-01,0.0,42.0,0.0,51.0,18.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2019-03-01,0.0,48.0,0.0,55.0,24.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2019-04-01,0.0,49.0,0.0,47.0,22.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2019-05-01,6.0,49.0,0.0,74.0,21.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2019-06-01,0.0,39.0,0.0,55.0,14.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2019-07-01,0.0,45.0,0.0,60.0,16.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2019-08-01,0.0,50.0,0.0,53.0,11.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2019-09-01,7.0,54.0,5.0,70.0,18.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2019-10-01,5.0,42.0,0.0,55.0,23.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2019-11-01,0.0,47.0,0.0,54.0,25.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2019-12-01,0.0,41.0,0.0,62.0,31.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2020-01-01,6.0,44.0,0.0,57.0,18.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2020-02-01,0.0,48.0,6.0,73.0,25.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2020-03-01,6.0,29.0,5.0,49.0,37.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2020-04-01,0.0,44.0,0.0,25.0,26.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2020-05-01,0.0,45.0,0.0,43.0,26.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2020-06-01,7.0,61.0,0.0,65.0,21.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2020-07-01,0.0,63.0,0.0,63.0,9.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2020-08-01,0.0,61.0,0.0,66.0,11.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2020-09-01,0.0,62.0,0.0,79.0,13.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2020-10-01,0.0,53.0,0.0,52.0,10.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2020-11-01,0.0,55.0,0.0,56.0,15.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2020-12-01,0.0,56.0,0.0,58.0,13.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2021-01-01,0.0,51.0,0.0,57.0,19.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2021-02-01,0.0,65.0,0.0,52.0,15.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2021-03-01,0.0,74.0,8.0,58.0,15.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2021-04-01,0.0,59.0,0.0,55.0,19.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2021-05-01,6.0,57.0,0.0,63.0,13.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2021-06-01,0.0,59.0,0.0,63.0,16.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2021-07-01,0.0,68.0,0.0,46.0,9.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2021-08-01,0.0,68.0,0.0,56.0,0.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2021-09-01,0.0,58.0,0.0,56.0,10.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2021-10-01,11.0,70.0,8.0,48.0,14.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2021-11-01,7.0,64.0,6.0,40.0,11.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2021-12-01,0.0,73.0,7.0,42.0,15.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2022-01-01,10.0,60.0,5.0,58.0,20.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2022-02-01,13.0,78.0,22.0,47.0,17.0,5.390243902439025,0.0,2026-05-19T12:28:12.993422+00:00
2022-03-01,19.0,79.0,24.0,44.0,20.0,4.903225806451613,0.0,2026-05-19T12:28:12.993422+00:00
2022-04-01,15.0,93.0,24.0,49.0,14.0,3.75,0.0,2026-05-19T12:28:12.993422+00:00
2022-05-01,15.0,91.0,17.0,54.0,16.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2022-06-01,20.0,82.0,40.0,50.0,14.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2022-07-01,23.0,76.0,14.0,41.0,9.0,4.04054054054054,0.0,2026-05-19T12:28:12.993422+00:00
2022-08-01,14.0,85.0,8.0,57.0,10.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2022-09-01,22.0,73.0,11.0,46.0,15.0,3.666666666666667,0.0,2026-05-19T12:28:12.993422+00:00
2022-10-01,26.0,74.0,41.0,41.0,15.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2022-11-01,27.0,68.0,28.0,32.0,15.0,4.909090909090909,0.0,2026-05-19T12:28:12.993422+00:00
2022-12-01,16.0,56.0,9.0,31.0,12.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
2023-01-01,25.0,78.0,5.0,38.0,18.0,0.0,0.0,2026-05-19T12:28:12.993422+00:00
