date,inflation morocco,oil price,price increase,consumer credit,morocco unemployment,food prices,purchasing power,pulled_at
2017-01-01,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2017-02-01,0.0,11.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2017-03-01,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2017-04-01,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2017-05-01,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2017-06-01,0.0,14.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2017-07-01,0.0,17.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2017-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2017-09-01,0.0,13.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2017-10-01,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2017-11-01,0.0,11.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2017-12-01,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2018-01-01,0.0,12.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2018-02-01,0.0,14.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2018-03-01,0.0,11.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2018-04-01,0.0,15.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2018-05-01,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2018-06-01,0.0,11.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2018-07-01,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2018-08-01,0.0,14.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2018-09-01,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2018-10-01,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2018-11-01,0.0,18.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2018-12-01,0.0,21.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2019-01-01,0.0,19.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2019-02-01,0.0,12.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2019-03-01,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2019-04-01,0.0,14.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2019-05-01,0.0,19.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2019-06-01,0.0,14.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
