date,غلاء,ارتفاع الأسعار,أزمة,بطالة,زيت,ثمن,حياة غالية,pulled_at
2017-01-01,0.0,0.0,7.0,0.0,68.0,28.0,0.0,2026-05-19T12:31:12.567250+00:00
2017-02-01,0.0,0.0,5.0,0.0,68.0,34.0,0.0,2026-05-19T12:31:12.567250+00:00
2017-03-01,0.0,0.0,6.0,0.0,72.0,32.0,0.0,2026-05-19T12:31:12.567250+00:00
2017-04-01,0.0,0.0,3.0,0.0,69.0,32.0,0.0,2026-05-19T12:31:12.567250+00:00
2017-05-01,0.0,0.0,5.0,0.0,61.0,32.0,0.0,2026-05-19T12:31:12.567250+00:00
2017-06-01,0.0,0.0,4.0,0.0,60.0,38.0,0.0,2026-05-19T12:31:12.567250+00:00
2017-07-01,0.0,0.0,2.0,0.0,62.0,42.0,0.0,2026-05-19T12:31:12.567250+00:00
2017-08-01,0.0,0.0,1.0,0.0,63.0,40.0,0.0,2026-05-19T12:31:12.567250+00:00
2017-09-01,0.0,0.0,1.0,0.0,61.0,36.0,0.0,2026-05-19T12:31:12.567250+00:00
2017-10-01,0.0,0.0,3.0,0.0,73.0,36.0,0.0,2026-05-19T12:31:12.567250+00:00
2017-11-01,1.0,0.0,3.0,1.0,78.0,36.0,0.0,2026-05-19T12:31:12.567250+00:00
2017-12-01,1.0,0.0,6.0,0.0,71.0,38.0,0.0,2026-05-19T12:31:12.567250+00:00
2018-01-01,1.0,0.0,6.0,0.0,64.0,46.0,0.0,2026-05-19T12:31:12.567250+00:00
2018-02-01,0.0,0.0,5.0,0.0,70.0,42.0,0.0,2026-05-19T12:31:12.567250+00:00
2018-03-01,0.0,0.0,4.0,0.0,70.0,40.0,0.0,2026-05-19T12:31:12.567250+00:00
2018-04-01,2.0,0.0,3.0,0.0,65.0,44.0,0.0,2026-05-19T12:31:12.567250+00:00
2018-05-01,2.0,0.0,4.0,0.0,64.0,44.0,0.0,2026-05-19T12:31:12.567250+00:00
2018-06-01,1.0,0.0,2.0,0.0,57.0,50.0,0.0,2026-05-19T12:31:12.567250+00:00
2018-07-01,1.0,0.0,1.0,0.0,63.0,50.0,0.0,2026-05-19T12:31:12.567250+00:00
2018-08-01,1.0,0.0,2.0,0.0,63.0,50.0,0.0,2026-05-19T12:31:12.567250+00:00
2018-09-01,0.0,0.0,1.0,1.0,69.0,50.0,0.0,2026-05-19T12:31:12.567250+00:00
2018-10-01,0.0,0.0,3.0,0.0,68.0,46.0,0.0,2026-05-19T12:31:12.567250+00:00
2018-11-01,0.0,0.0,3.0,0.0,73.0,52.0,0.0,2026-05-19T12:31:12.567250+00:00
2018-12-01,0.0,0.0,5.0,0.0,81.0,52.0,0.0,2026-05-19T12:31:12.567250+00:00
2019-01-01,0.0,0.0,5.0,0.0,72.0,58.0,0.0,2026-05-19T12:31:12.567250+00:00
2019-02-01,1.0,0.0,4.0,0.0,73.0,54.0,0.0,2026-05-19T12:31:12.567250+00:00
2019-03-01,0.0,0.0,4.0,0.0,70.0,54.0,0.0,2026-05-19T12:31:12.567250+00:00
2019-04-01,0.0,0.0,3.0,0.0,63.0,58.0,0.0,2026-05-19T12:31:12.567250+00:00
2019-05-01,0.0,0.0,5.0,1.0,61.0,58.0,0.0,2026-05-19T12:31:12.567250+00:00
2019-06-01,0.0,0.0,3.0,0.0,60.0,60.0,0.0,2026-05-19T12:31:12.567250+00:00
2019-07-01,0.0,0.0,1.0,0.0,63.0,64.0,0.0,2026-05-19T12:31:12.567250+00:00
2019-08-01,0.0,0.0,1.0,0.0,63.0,68.0,0.0,2026-05-19T12:31:12.567250+00:00
2019-09-01,0.0,0.0,2.0,0.0,68.0,62.0,0.0,2026-05-19T12:31:12.567250+00:00
2019-10-01,0.0,0.0,3.0,0.0,66.0,60.0,0.0,2026-05-19T12:31:12.567250+00:00
2019-11-01,0.0,0.0,3.0,0.0,71.0,58.0,0.0,2026-05-19T12:31:12.567250+00:00
2019-12-01,0.0,0.0,7.0,0.0,69.0,58.0,0.0,2026-05-19T12:31:12.567250+00:00
2020-01-01,0.0,0.0,6.0,0.0,69.0,64.0,0.0,2026-05-19T12:31:12.567250+00:00
2020-02-01,0.0,0.0,4.0,0.0,80.0,66.0,0.0,2026-05-19T12:31:12.567250+00:00
2020-03-01,1.0,0.0,7.0,1.0,60.0,54.0,0.0,2026-05-19T12:31:12.567250+00:00
