month,inflation maroc,prix alimentaires,pouvoir d achat,prix carburant,inflation au maroc,taux inflation maroc,indice prix maroc,IPC maroc,prix huile maroc,prix farine maroc,prix sucre maroc,prix legumes maroc,prix viande maroc,hausse prix alimentaires,prix tomates maroc,pouvoir achat maroc,vie chere maroc,salaire minimum maroc,SMIG maroc,crise economique maroc,hausse prix maroc,augmentation prix maroc,prix essence maroc,prix gasoil maroc,prix carburant maroc,pompe essence maroc,prix gaz maroc,aide sociale maroc,subvention maroc,credit consommation maroc,budget maroc
2017-01-01,0,0,0,5,0,0,0,0,21,0,0,0,0,0,0,0,0,0,11,0,0,0,7,4,5,0,5,0,0,44,65
2017-02-01,0,0,0,3,0,0,0,0,27,0,0,0,0,0,0,0,0,0,14,0,0,0,8,4,4,0,4,0,14,79,69
2017-03-01,15,0,0,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,13,0,0,0,8,3,0,0,3,0,18,57,67
2017-04-01,0,0,0,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,13,0,0,0,8,4,3,0,3,0,13,63,62
2017-05-01,0,0,0,5,16,0,0,0,18,0,0,0,0,0,0,0,0,0,12,0,0,0,7,3,6,0,5,0,24,51,85
2017-06-01,0,0,0,5,0,0,0,0,18,0,0,0,0,0,0,0,0,0,13,0,0,0,6,4,4,0,0,0,0,80,62
2017-07-01,18,0,0,5,0,0,0,0,19,0,0,0,0,0,0,0,0,0,15,0,0,0,8,4,5,0,3,0,18,52,65
2017-08-01,0,0,0,5,0,0,0,0,26,0,0,0,0,0,0,0,0,0,12,0,0,0,9,2,0,0,4,0,13,64,77
2017-09-01,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,10,0,0,0,8,2,2,0,4,0,19,50,59
2017-10-01,0,0,0,3,0,0,0,0,19,0,0,0,0,0,0,0,0,2,17,0,0,0,8,2,0,0,3,0,16,41,69
2017-11-01,0,0,0,6,0,15,0,0,22,0,0,0,19,0,0,0,0,0,14,0,0,0,10,4,4,0,4,0,24,58,58
2017-12-01,0,0,0,4,0,0,0,0,31,0,0,0,0,0,0,0,0,0,14,0,0,0,10,4,4,0,12,0,20,63,73
2018-01-01,0,0,0,6,0,0,0,0,27,0,0,0,0,0,0,0,0,0,18,0,0,0,8,6,5,0,7,0,17,65,72
2018-02-01,0,0,0,5,0,0,0,0,23,0,0,0,0,0,0,0,0,0,21,0,0,0,9,4,5,0,5,0,21,83,67
2018-03-01,15,0,0,2,0,0,0,0,25,0,0,0,0,0,0,0,0,0,18,0,0,0,8,2,3,0,6,0,25,80,62
2018-04-01,0,0,0,8,0,0,0,0,33,0,0,0,0,0,0,0,0,0,18,0,0,0,11,6,5,0,4,0,21,62,64
2018-05-01,12,0,0,9,0,0,0,0,35,0,9,0,0,0,0,0,0,3,20,0,0,0,10,8,8,0,4,0,21,56,83
2018-06-01,0,0,0,9,0,0,0,0,23,0,0,0,0,0,0,0,0,0,14,0,0,0,8,4,6,0,4,0,19,55,74
2018-07-01,0,0,0,6,0,0,0,0,30,0,0,0,0,0,0,0,0,0,17,0,0,0,9,3,4,0,5,0,14,59,61
2018-08-01,0,0,0,4,0,0,0,0,31,0,0,0,16,0,0,0,0,0,10,0,0,0,10,3,0,0,3,0,12,59,63
2018-09-01,0,0,0,4,0,0,0,0,28,0,0,0,0,0,0,0,0,3,16,0,0,0,12,3,3,0,4,0,19,70,55
2018-10-01,0,0,0,5,0,0,0,0,21,0,0,0,0,0,0,0,0,2,20,0,0,0,11,8,5,0,6,0,24,71,83
2018-11-01,0,0,3,14,0,0,0,0,22,0,0,0,0,0,0,0,0,4,17,0,0,0,13,8,8,0,5,0,22,61,70
2018-12-01,0,0,0,21,0,0,0,0,45,0,0,0,0,0,0,0,0,0,20,0,0,0,12,15,18,2,5,0,24,62,76
2019-01-01,0,0,0,9,0,0,0,0,37,0,0,0,0,0,0,0,0,0,18,0,0,0,10,5,8,0,8,0,23,57,68
2019-02-01,0,0,0,8,0,0,0,0,27,0,0,0,0,0,0,0,0,3,19,0,0,0,10,3,5,0,6,0,17,65,55
2019-03-01,11,0,0,7,0,0,0,0,38,0,0,0,0,0,0,0,0,0,17,0,0,0,10,3,5,0,5,0,29,69,60
2019-04-01,0,0,0,7,0,0,0,0,40,0,0,0,0,0,0,0,0,0,39,0,0,0,8,5,5,0,7,0,26,59,61
2019-05-01,0,0,0,4,0,0,0,0,31,0,0,0,0,0,0,0,0,3,29,0,0,2,10,4,4,0,6,0,21,79,68
2019-06-01,0,0,0,6,0,0,0,0,28,0,0,0,0,0,0,0,0,4,27,0,0,0,10,4,3,0,6,0,16,72,74
2019-07-01,0,0,0,4,0,0,0,0,39,0,0,0,15,0,0,0,0,2,39,0,0,0,11,3,4,0,5,0,11,76,80
2019-08-01,0,0,0,4,0,0,0,0,41,0,0,0,0,0,0,0,0,4,33,0,0,0,10,4,4,0,6,0,0,57,64
2019-09-01,13,0,0,6,0,0,0,0,50,0,0,0,0,0,0,0,0,3,36,0,0,0,14,5,4,0,6,0,14,71,79
2019-10-01,13,0,0,3,0,0,0,0,36,0,0,0,0,0,0,0,0,3,29,0,0,0,9,4,0,0,8,0,21,58,81
2019-11-01,11,0,0,6,0,0,0,0,40,0,0,0,0,0,0,0,0,0,19,0,0,0,11,3,3,0,6,0,22,64,57
2019-12-01,0,0,0,4,0,0,0,0,38,0,0,0,0,0,0,0,0,3,25,0,0,0,11,2,2,0,8,0,26,72,76
2020-01-01,11,0,0,6,0,0,0,0,40,0,7,0,0,0,0,0,0,3,27,0,0,0,12,5,6,0,9,0,19,57,64
2020-02-01,0,0,0,7,0,0,0,0,43,0,0,0,0,0,0,0,0,2,25,0,0,0,12,6,2,0,6,0,22,74,83
2020-03-01,10,0,0,23,0,0,0,0,23,0,0,0,0,0,0,0,0,2,18,0,0,0,10,30,23,0,6,0,16,55,78
2020-04-01,11,0,0,36,0,0,0,0,45,0,0,0,0,0,0,0,0,0,13,0,0,0,15,38,36,0,9,0,18,23,56
2020-05-01,0,0,0,13,0,0,0,0,52,0,0,0,0,0,0,0,0,0,17,0,0,0,13,14,13,0,9,0,13,52,56
2020-06-01,13,0,0,5,0,0,0,0,58,0,8,6,0,0,0,0,0,0,26,0,0,0,16,9,7,0,10,0,22,73,54
2020-07-01,0,0,0,5,0,0,0,0,57,0,0,0,26,0,0,0,0,2,44,0,0,0,17,7,4,0,11,0,28,71,62
2020-08-01,0,0,0,6,0,0,0,0,64,0,0,0,15,0,0,0,0,0,37,0,0,0,18,4,4,0,9,0,17,70,62
2020-09-01,13,0,0,2,0,0,0,0,62,0,0,0,0,0,0,0,0,0,38,0,0,0,17,6,0,0,8,0,21,79,64
2020-10-01,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,31,0,0,0,16,5,0,0,10,0,27,53,62
2020-11-01,0,0,0,3,0,0,0,0,55,0,0,0,0,0,0,0,0,0,24,0,0,0,11,4,0,0,14,0,12,54,68
2020-12-01,0,0,0,3,0,0,0,0,60,0,11,0,0,0,0,0,0,0,23,0,0,0,17,4,4,0,18,0,24,59,67
