keyword,best_lag,best_r,raw_r,bias_stl,keep
inflation maroc,0,0.642,0.833,0.191,True
taux inflation maroc,1,0.489,0.699,0.211,True
budget maroc,0,0.438,0.394,-0.044,True
prix gaz maroc,2,-0.391,0.376,-0.015,True
inflation au maroc,1,0.373,0.711,0.338,True
indice prix maroc,2,0.343,0.424,0.081,True
vie chere maroc,0,0.317,0.174,-0.144,True
prix alimentaires,2,0.309,0.385,0.076,True
IPC maroc,1,0.208,0.19,-0.017,False
augmentation prix maroc,1,0.204,0.364,0.16,False
prix huile maroc,2,-0.188,0.417,0.228,False
prix essence maroc,2,-0.186,0.428,0.243,False
prix farine maroc,2,0.179,0.374,0.196,False
prix viande maroc,1,0.178,0.349,0.171,False
hausse prix maroc,2,0.163,0.53,0.368,False
credit consommation maroc,0,-0.147,-0.55,0.403,False
prix legumes maroc,2,0.142,0.072,-0.071,False
pompe essence maroc,0,0.124,0.013,-0.111,False
prix carburant,0,0.111,0.478,0.367,False
subvention maroc,0,-0.111,0.628,0.517,False
prix carburant maroc,2,0.098,0.48,0.383,False
prix gasoil maroc,0,0.091,0.532,0.441,False
prix sucre maroc,0,-0.09,0.42,0.33,False
salaire minimum maroc,1,-0.066,0.273,0.206,False
SMIG maroc,2,0.066,0.363,0.297,False
aide sociale maroc,0,-0.063,0.021,-0.041,False
pouvoir d achat,2,-0.061,-0.072,0.011,False
pouvoir achat maroc,1,-0.036,0.208,0.172,False
crise economique maroc,0,0.0,,,False
prix tomates maroc,0,0.0,,,False
hausse prix alimentaires,0,0.0,,,False
