date,score_lexical_raw,n_texts,source_type_dominant,n_negative_hits,n_positive_hits,coverage_flag,imputation_reason,score_lexical_norm,notes
2017-01-01,0.0967741935483871,31,post_excerpt,4,1,1,,0.7465437788018433,
2017-02-01,0.07142857142857142,28,post_excerpt,3,1,1,,0.6632653061224489,
2017-03-01,0.06060606060606061,33,post_excerpt,2,0,1,,0.6277056277056277,
2017-04-01,-0.03125,32,post_excerpt,3,4,1,,0.3258928571428571,
2017-05-01,-0.030303030303030304,33,post_excerpt,4,5,1,,0.32900432900432897,
2017-06-01,-0.13043478260869565,23,post_excerpt,0,3,1,,0.0,
2017-07-01,0.043478260869565216,46,post_excerpt,4,2,1,,0.5714285714285714,
2017-08-01,0.09375,32,post_excerpt,3,0,1,,0.7366071428571428,
2017-09-01,0.10526315789473684,19,post_excerpt,4,2,1,,0.7744360902255638,
2017-10-01,-0.02127659574468085,47,post_excerpt,1,2,1,,0.35866261398176286,
2017-11-01,-0.05555555555555555,27,post_excerpt,1,2,1,,0.24603174603174602,
2017-12-01,0.13043478260869565,46,post_excerpt,7,1,1,,0.8571428571428571,
2018-01-01,0.025,40,post_excerpt,2,1,1,,0.5107142857142857,
2018-02-01,0.03571428571428571,28,post_excerpt,3,2,1,,0.5459183673469388,
2018-03-01,0.17391304347826086,46,post_excerpt,9,1,1,,1.0,
2018-04-01,0.0,37,post_excerpt,2,2,1,,0.42857142857142855,
2018-05-01,0.058823529411764705,34,post_excerpt,3,1,1,,0.6218487394957982,
2018-06-01,0.041666666666666664,24,post_excerpt,1,0,1,,0.5654761904761904,
2018-07-01,0.0625,32,post_excerpt,3,1,1,,0.6339285714285714,
2018-08-01,0.11428571428571428,35,post_excerpt,4,0,1,,0.8040816326530612,
2018-09-01,0.0625,32,post_excerpt,2,0,1,,0.6339285714285714,
2018-10-01,0.03773584905660377,53,post_excerpt,4,2,1,,0.5525606469002695,
2018-11-01,0.07142857142857142,42,post_excerpt,6,3,1,,0.6632653061224489,
2018-12-01,0.05128205128205128,39,post_excerpt,2,0,1,,0.5970695970695971,
2019-01-01,0.02,50,post_excerpt,2,1,1,,0.4942857142857142,
2019-02-01,0.07142857142857142,28,post_excerpt,2,0,1,,0.6632653061224489,
2019-03-01,0.027777777777777776,36,post_excerpt,1,0,1,,0.5198412698412698,
2019-04-01,0.0,29,post_excerpt,0,0,1,,0.42857142857142855,
2019-05-01,-0.025,40,post_excerpt,0,1,1,,0.3464285714285714,
2019-06-01,0.0,25,post_excerpt,0,0,1,,0.42857142857142855,
2019-07-01,0.046511627906976744,43,post_excerpt,4,2,1,,0.5813953488372092,
2019-08-01,0.04,25,post_excerpt,2,1,1,,0.5599999999999999,
2019-09-01,0.08333333333333333,36,post_excerpt,3,0,1,,0.7023809523809523,
2019-10-01,0.09523809523809523,42,post_excerpt,4,0,1,,0.7414965986394557,
2019-11-01,0.02631578947368421,38,post_excerpt,1,0,1,,0.5150375939849624,
2019-12-01,-0.03125,32,post_excerpt,1,2,1,,0.3258928571428571,
2020-01-01,-0.038461538461538464,26,post_excerpt,2,3,1,,0.3021978021978022,
2020-02-01,0.05555555555555555,36,post_excerpt,2,0,1,,0.611111111111111,
2020-03-01,0.014285714285714285,70,post_excerpt,3,2,1,,0.47551020408163264,
2020-04-01,0.0,56,post_excerpt,0,0,1,,0.42857142857142855,
2020-05-01,-0.016666666666666666,60,post_excerpt,0,1,1,,0.3738095238095238,
2020-06-01,-0.02127659574468085,47,post_excerpt,1,2,1,,0.35866261398176286,
2020-07-01,-0.011363636363636364,44,post_excerpt,2,3,1,,0.3912337662337662,
2020-08-01,0.02857142857142857,35,post_excerpt,1,0,1,,0.5224489795918367,
2020-09-01,0.0,35,post_excerpt,0,0,1,,0.42857142857142855,
2020-10-01,0.0,39,post_excerpt,0,0,1,,0.42857142857142855,
2020-11-01,0.02702702702702703,37,post_excerpt,1,0,1,,0.5173745173745173,
2020-12-01,0.0273972602739726,73,post_excerpt,3,1,1,,0.5185909980430528,
2021-01-01,-0.034482758620689655,58,post_excerpt,2,4,1,,0.3152709359605911,
2021-02-01,0.018867924528301886,53,post_excerpt,5,4,1,,0.490566037735849,
2021-03-01,0.11363636363636363,44,post_excerpt,5,0,1,,0.8019480519480519,
