lag,correlation,abs_corr,type
-12,0.7911811812573522,0.7911811812573522,niveaux
-11,0.7852326552150356,0.7852326552150356,niveaux
-10,0.7369447607250941,0.7369447607250941,niveaux
-9,0.7048553442928904,0.7048553442928904,niveaux
-8,0.6551608947444094,0.6551608947444094,niveaux
-7,0.619226879318927,0.619226879318927,niveaux
-6,0.601531659811741,0.601531659811741,niveaux
-5,0.5870019832881929,0.5870019832881929,niveaux
-4,0.5770951644436623,0.5770951644436623,niveaux
-3,0.5649801170483668,0.5649801170483668,niveaux
-2,0.5556735801105732,0.5556735801105732,niveaux
-1,0.550348560204978,0.550348560204978,niveaux
0,0.5354714487932153,0.5354714487932153,niveaux
1,0.550348560204978,0.550348560204978,niveaux
2,0.5556735801105732,0.5556735801105732,niveaux
3,0.5649801170483668,0.5649801170483668,niveaux
4,0.5770951644436623,0.5770951644436623,niveaux
5,0.5870019832881929,0.5870019832881929,niveaux
6,0.601531659811741,0.601531659811741,niveaux
7,0.619226879318927,0.619226879318927,niveaux
8,0.6551608947444094,0.6551608947444094,niveaux
9,0.7048553442928904,0.7048553442928904,niveaux
10,0.7369447607250941,0.7369447607250941,niveaux
11,0.7852326552150356,0.7852326552150356,niveaux
12,0.7911811812573522,0.7911811812573522,niveaux
-12,0.033732232035154686,0.033732232035154686,differences
-11,0.01810284745773862,0.01810284745773862,differences
-10,-0.07422398397500182,0.07422398397500182,differences
-9,-0.07824303485573281,0.07824303485573281,differences
-8,-0.08912302345388635,0.08912302345388635,differences
-7,-0.06942991009615755,0.06942991009615755,differences
-6,-0.07853143610076614,0.07853143610076614,differences
-5,-0.05110530735934833,0.05110530735934833,differences
-4,-0.04763580329967771,0.04763580329967771,differences
-3,-0.04413142371080331,0.04413142371080331,differences
-2,-0.04621098192268316,0.04621098192268316,differences
-1,-0.0308849802990156,0.0308849802990156,differences
0,-0.035606544664576995,0.035606544664576995,differences
1,-0.0308849802990156,0.0308849802990156,differences
2,-0.04621098192268316,0.04621098192268316,differences
3,-0.04413142371080331,0.04413142371080331,differences
4,-0.04763580329967771,0.04763580329967771,differences
5,-0.05110530735934833,0.05110530735934833,differences
6,-0.07853143610076614,0.07853143610076614,differences
7,-0.06942991009615755,0.06942991009615755,differences
8,-0.08912302345388635,0.08912302345388635,differences
9,-0.07824303485573281,0.07824303485573281,differences
10,-0.07422398397500182,0.07422398397500182,differences
11,0.01810284745773862,0.01810284745773862,differences
12,0.033732232035154686,0.033732232035154686,differences
