model,scope,n_obs,n_blocs_bs,RMSE,RMSE_lo95,RMSE_hi95,RMSE_width,MAE,MAE_lo95,MAE_hi95,MAE_width,RMSE_bayes_lo95,RMSE_bayes_hi95,AUC,AUC_lo95,AUC_hi95,F1,F1_lo95,F1_hi95,Recall,Recall_lo95,Recall_hi95,Precision,Precision_lo95,Precision_hi95
naif,A,24,4,1.3763,0.9819,1.6705,0.6886,1.0333,0.7458,1.3293,0.5834,0.9896,1.7788,,,,,,,,,,,,
sarima,A,24,4,1.9131,1.4058,2.3257,0.9198,1.5468,1.1651,1.9429,0.7778,1.4786,2.4259,,,,,,,,,,,,
sarimax_behavioral,A,24,4,1.8067,1.3765,2.2345,0.858,1.4762,1.118,1.8589,0.7409,1.3795,2.2837,0.3281,0.1327,0.7001,0.5161,0.3571,0.7222,1.0,0.5,1.0,0.3478,0.2174,0.5833
sarimax_hybrid,A,24,4,2.0036,1.4445,2.4092,0.9647,1.6005,1.1381,2.031,0.893,1.5318,2.4475,0.5625,0.3333,0.8445,0.5714,0.381,0.8571,1.0,0.3333,1.0,0.4,0.2497,1.0
naif,B,36,6,1.8426,1.2575,2.3479,1.0904,1.3667,0.9917,1.7615,0.7699,1.3853,2.3902,,,,,,,,,,,,
sarima,B,36,6,1.9324,1.4906,2.3076,0.8169,1.5277,1.1718,1.9387,0.7668,1.5416,2.3606,,,,,,,,,,,,
sarimax_behavioral,B,36,6,1.9761,1.544,2.4013,0.8574,1.5688,1.1893,1.9687,0.7795,1.5486,2.4391,0.3472,0.0984,0.7344,0.8,0.5,0.9859,1.0,1.0,1.0,0.6667,0.3333,0.9722
sarimax_hybrid,B,36,6,1.9911,1.4839,2.3843,0.9004,1.5525,1.0779,2.0031,0.9252,1.5976,2.3844,0.3507,0.0,0.7502,0.8,0.5,0.9859,1.0,0.6,1.0,0.6667,0.3333,1.0
naif,global,60,10,1.6717,1.2691,2.0546,0.7855,1.2333,0.9717,1.5236,0.552,1.349,2.0457,,,,,,,,,,,,
sarima,global,60,10,1.9247,1.6023,2.2101,0.6078,1.5354,1.2636,1.8154,0.5518,1.6001,2.2619,,,,,,,,,,,,
sarimax_behavioral,global,60,10,1.9101,1.5724,2.233,0.6606,1.5317,1.2444,1.8288,0.5844,1.5946,2.2372,0.5737,0.3064,0.8351,0.7033,0.4675,0.9072,1.0,0.6667,1.0,0.5424,0.3102,0.9231
sarimax_hybrid,global,60,10,1.9961,1.6694,2.3192,0.6498,1.5717,1.2585,1.9155,0.6569,1.6891,2.3325,0.3761,0.1336,0.6868,0.6957,0.4615,0.8788,1.0,0.6085,1.0,0.5333,0.3164,0.8167
