scope,metric,model_A,model_B,A_lo95,A_hi95,B_lo95,B_hi95,overlap,significant_diff
A,RMSE,naif,sarima,0.9819,1.6705,1.4058,2.3257,True,False
A,RMSE,naif,sarimax_behavioral,0.9819,1.6705,1.3765,2.2345,True,False
A,RMSE,naif,sarimax_hybrid,0.9819,1.6705,1.4445,2.4092,True,False
A,RMSE,sarima,sarimax_behavioral,1.4058,2.3257,1.3765,2.2345,True,False
A,RMSE,sarima,sarimax_hybrid,1.4058,2.3257,1.4445,2.4092,True,False
A,RMSE,sarimax_behavioral,sarimax_hybrid,1.3765,2.2345,1.4445,2.4092,True,False
A,MAE,naif,sarima,0.7458,1.3293,1.1651,1.9429,True,False
A,MAE,naif,sarimax_behavioral,0.7458,1.3293,1.118,1.8589,True,False
A,MAE,naif,sarimax_hybrid,0.7458,1.3293,1.1381,2.031,True,False
A,MAE,sarima,sarimax_behavioral,1.1651,1.9429,1.118,1.8589,True,False
A,MAE,sarima,sarimax_hybrid,1.1651,1.9429,1.1381,2.031,True,False
A,MAE,sarimax_behavioral,sarimax_hybrid,1.118,1.8589,1.1381,2.031,True,False
A,AUC,sarimax_behavioral,sarimax_hybrid,0.1327,0.7001,0.3333,0.8445,True,False
A,F1,sarimax_behavioral,sarimax_hybrid,0.3571,0.7222,0.381,0.8571,True,False
A,Recall,sarimax_behavioral,sarimax_hybrid,0.5,1.0,0.3333,1.0,True,False
A,Precision,sarimax_behavioral,sarimax_hybrid,0.2174,0.5833,0.2497,1.0,True,False
B,RMSE,naif,sarima,1.2575,2.3479,1.4906,2.3076,True,False
B,RMSE,naif,sarimax_behavioral,1.2575,2.3479,1.544,2.4013,True,False
B,RMSE,naif,sarimax_hybrid,1.2575,2.3479,1.4839,2.3843,True,False
B,RMSE,sarima,sarimax_behavioral,1.4906,2.3076,1.544,2.4013,True,False
B,RMSE,sarima,sarimax_hybrid,1.4906,2.3076,1.4839,2.3843,True,False
B,RMSE,sarimax_behavioral,sarimax_hybrid,1.544,2.4013,1.4839,2.3843,True,False
B,MAE,naif,sarima,0.9917,1.7615,1.1718,1.9387,True,False
B,MAE,naif,sarimax_behavioral,0.9917,1.7615,1.1893,1.9687,True,False
B,MAE,naif,sarimax_hybrid,0.9917,1.7615,1.0779,2.0031,True,False
B,MAE,sarima,sarimax_behavioral,1.1718,1.9387,1.1893,1.9687,True,False
B,MAE,sarima,sarimax_hybrid,1.1718,1.9387,1.0779,2.0031,True,False
B,MAE,sarimax_behavioral,sarimax_hybrid,1.1893,1.9687,1.0779,2.0031,True,False
B,AUC,sarimax_behavioral,sarimax_hybrid,0.0984,0.7344,0.0,0.7502,True,False
B,F1,sarimax_behavioral,sarimax_hybrid,0.5,0.9859,0.5,0.9859,True,False
B,Recall,sarimax_behavioral,sarimax_hybrid,1.0,1.0,0.6,1.0,False,True
B,Precision,sarimax_behavioral,sarimax_hybrid,0.3333,0.9722,0.3333,1.0,True,False
global,RMSE,naif,sarima,1.2691,2.0546,1.6023,2.2101,True,False
global,RMSE,naif,sarimax_behavioral,1.2691,2.0546,1.5724,2.233,True,False
global,RMSE,naif,sarimax_hybrid,1.2691,2.0546,1.6694,2.3192,True,False
global,RMSE,sarima,sarimax_behavioral,1.6023,2.2101,1.5724,2.233,True,False
global,RMSE,sarima,sarimax_hybrid,1.6023,2.2101,1.6694,2.3192,True,False
global,RMSE,sarimax_behavioral,sarimax_hybrid,1.5724,2.233,1.6694,2.3192,True,False
global,MAE,naif,sarima,0.9717,1.5236,1.2636,1.8154,True,False
global,MAE,naif,sarimax_behavioral,0.9717,1.5236,1.2444,1.8288,True,False
global,MAE,naif,sarimax_hybrid,0.9717,1.5236,1.2585,1.9155,True,False
global,MAE,sarima,sarimax_behavioral,1.2636,1.8154,1.2444,1.8288,True,False
global,MAE,sarima,sarimax_hybrid,1.2636,1.8154,1.2585,1.9155,True,False
global,MAE,sarimax_behavioral,sarimax_hybrid,1.2444,1.8288,1.2585,1.9155,True,False
global,AUC,sarimax_behavioral,sarimax_hybrid,0.3064,0.8351,0.1336,0.6868,True,False
global,F1,sarimax_behavioral,sarimax_hybrid,0.4675,0.9072,0.4615,0.8788,True,False
global,Recall,sarimax_behavioral,sarimax_hybrid,0.6667,1.0,0.6085,1.0,True,False
global,Precision,sarimax_behavioral,sarimax_hybrid,0.3102,0.9231,0.3164,0.8167,True,False
