look_back,lstm_units_1,lstm_units_2,dropout,learning_rate,batch_size,rmse,mae,mape,epochs_run
6,64,16,0.1,0.001,16,18.634570674626204,17.40160436862045,13.749166664889506,15
6,64,32,0.2,0.0005,16,19.079629440186576,17.91026615666019,14.167077325571956,18
6,64,32,0.2,0.001,16,20.299429168208032,18.9678715063466,14.988705291025928,15
12,64,32,0.1,0.0005,16,20.463850236546637,19.13087173071173,15.117804916729144,16
24,64,16,0.2,0.001,16,20.504398928116906,19.144785355859334,15.124804564196005,15
6,64,32,0.1,0.001,16,20.513138080865073,19.153631368610593,15.13309675892156,15
24,64,32,0.1,0.0005,16,20.559728163545444,19.278543799784448,15.24403400168604,15
24,32,32,0.1,0.001,16,20.835805663543095,19.482086329658827,15.395675276436565,15
12,64,32,0.2,0.0005,16,20.85279395376657,19.46732543177075,15.379357625893721,15
24,32,16,0.1,0.0005,16,20.87689804417176,19.62714405655861,15.528744155886862,15
12,64,16,0.2,0.0005,16,20.969888184703468,19.600096184677547,15.488071931264713,15
24,64,32,0.2,0.0005,16,20.970521359060015,19.535118594103395,15.42679679279613,16
12,64,16,0.1,0.001,16,21.032893590513332,19.653829585843617,15.529258700641757,13
12,32,32,0.1,0.001,16,21.038776132125133,19.665740174386233,15.540316953938154,14
12,64,32,0.2,0.001,16,21.043707579634184,19.642849736743504,15.517780583560867,14
12,32,32,0.2,0.001,16,21.07424319527015,19.557726029223872,15.432558611290306,13
6,64,32,0.1,0.0005,16,21.106764757976133,19.73760263356898,15.599313013006311,19
6,32,32,0.2,0.001,16,21.114129208107453,19.670186144113543,15.535375181940466,17
6,32,32,0.1,0.0005,16,21.12462604163087,19.783539201815927,15.639692909811862,22
12,64,32,0.1,0.001,16,21.275642485683065,19.88278503186173,15.710524252588097,12
24,64,16,0.1,0.001,16,21.436621758803955,20.05074783464273,15.84624577088159,15
24,32,16,0.2,0.001,16,21.778253784503473,20.373021650645473,16.10225281401058,14
6,32,32,0.2,0.0005,16,21.838788008462227,20.491664573550224,16.20602982503185,24
24,32,32,0.1,0.0005,16,21.97261190602101,20.50501887632741,16.19762652679536,18
12,64,16,0.2,0.001,16,22.00678530735459,20.51111239724689,16.19859184293476,13
6,64,16,0.1,0.0005,16,22.00694000936769,20.630602233608567,16.314011765968107,20
24,64,32,0.2,0.001,16,22.122579740545913,20.702884643938805,16.36368679413111,13
12,32,32,0.2,0.0005,16,22.22915143268873,20.80496375328965,16.44471689410146,19
6,32,16,0.1,0.001,16,22.266501969973287,20.848609221643876,16.481452189128454,19
6,64,16,0.2,0.0005,16,22.3206031433763,20.87544210851193,16.49867847389653,18
6,32,16,0.2,0.0005,16,22.40896804634616,20.96978890200456,16.575674317118995,22
6,64,16,0.2,0.001,16,22.485716502238393,20.951806606186764,16.546562910816633,17
24,32,16,0.2,0.0005,16,22.513023356815978,21.172604724433686,16.752599662722435,20
6,32,16,0.1,0.0005,16,22.55465237818051,21.11211707989375,16.688995747656822,24
24,64,16,0.2,0.0005,16,22.629031194738232,21.110051435563303,16.67573581258991,20
6,32,16,0.2,0.001,16,22.644342484301824,21.0926854752832,16.65639395900588,16
12,32,16,0.2,0.0005,16,22.6673602690196,21.237083249621925,16.789926046736774,23
24,32,16,0.1,0.001,16,22.793913385998152,21.170521208312778,16.708510590580534,15
12,64,16,0.1,0.0005,16,22.808259610052044,21.3483256601625,16.874650599723473,15
12,32,16,0.1,0.0005,16,22.83628029457675,21.4302091124985,16.948312325908702,17
12,32,32,0.1,0.0005,16,22.886152208135847,21.38836007217566,16.900692301685723,18
24,64,16,0.1,0.0005,16,22.901377263804164,21.23093590802616,16.75032074644755,17
24,64,32,0.1,0.001,16,22.961696782153467,21.45162178609106,16.949880916430295,13
6,32,32,0.1,0.001,16,23.42556102703994,21.817828497290613,17.229357111580665,16
24,32,32,0.2,0.0005,16,23.46984312866095,21.924867685470318,17.324057784404058,18
12,32,16,0.2,0.001,16,23.5256131246104,22.012688585950272,17.3981518682446,16
24,32,32,0.2,0.001,16,23.598749211881767,21.956927398675024,17.335010708892174,14
12,32,16,0.1,0.001,16,24.04266760197565,22.387819895479417,17.678586402164967,14
