look_back,lstm_units_1,lstm_units_2,dropout,learning_rate,batch_size,rmse,mae,mape,epochs_run,train_time_s
6,128,16,0.2,0.001,8,0.006307077204833067,0.00544098109572563,0.45182459162927835,26,11.8
6,128,32,0.2,0.001,8,0.006389778520466429,0.00539793744967124,0.44884651821489135,28,12.9
6,32,32,0.3,0.001,32,0.006971461749763375,0.005851239709902201,0.48740416726283187,60,21.1
6,128,32,0.1,0.001,8,0.007224605765850847,0.005912736611553708,0.4933055240014101,24,11.0
6,128,32,0.3,0.001,16,0.007266631247125309,0.006305171106590697,0.5229924014560776,35,11.8
6,32,32,0.3,0.001,8,0.007513646203625434,0.006654670930683264,0.5442752599773824,42,21.5
6,32,64,0.1,0.001,16,0.007612184886383818,0.006550305927834726,0.5430779303755877,60,18.2
12,64,16,0.1,0.001,8,0.007998616776825004,0.006339547237135467,0.5298949862897936,52,18.5
6,32,64,0.2,0.001,16,0.008079278168184451,0.00704762085090153,0.5842836754253449,33,12.5
6,64,32,0.2,0.0005,16,0.008579174609613343,0.007201597037948476,0.5980034830213851,49,12.5
6,32,64,0.2,0.001,8,0.008908629364217782,0.007446883645635258,0.6181779372942295,22,11.2
6,128,16,0.3,0.001,8,0.00901262095818673,0.00810199143630432,0.6725178444258555,30,12.6
6,128,32,0.2,0.0005,8,0.009057624442727685,0.008184277545364771,0.6764139190611614,50,18.7
6,64,32,0.3,0.0005,16,0.009148798179913644,0.007817560860089525,0.6464670886293696,51,14.6
6,64,32,0.1,0.001,16,0.009176778947069322,0.008005470064195485,0.6600133626814304,35,11.0
6,128,32,0.3,0.0005,32,0.009233943547052887,0.00751545296636863,0.6268934478445313,63,15.3
6,64,64,0.2,0.001,16,0.00935127198931365,0.00841684994312837,0.6959570336823793,29,10.0
6,64,32,0.3,0.001,32,0.009356321842676776,0.007706002498058362,0.6415915303537992,52,12.4
6,64,32,0.2,0.001,32,0.009409637135622723,0.007622047749198026,0.6352735550272803,52,10.9
6,128,32,0.1,0.001,16,0.009437660015082085,0.0075294602793215416,0.6291213658154546,39,12.8
6,32,16,0.1,0.001,16,0.009457306575402483,0.007978561809376863,0.6594553536416952,54,23.4
6,64,64,0.3,0.001,16,0.009511223617563831,0.007820898583859013,0.6520772138590603,30,10.4
6,32,32,0.2,0.0005,8,0.009546556286558707,0.008186465449632117,0.6804199474653314,43,20.9
6,64,32,0.3,0.0005,32,0.009613296399496275,0.007932332145597033,0.6608188004793124,83,20.3
6,128,32,0.3,0.0005,16,0.00963271233159305,0.008318133627390534,0.6894709811407188,35,11.7
6,32,32,0.1,0.0005,32,0.009719666188061816,0.008259511056853982,0.6815972688115235,109,34.0
6,64,32,0.3,0.0005,8,0.009721698711492453,0.00851302767103448,0.7031998753369985,39,14.0
6,128,64,0.1,0.001,16,0.009730164197623709,0.008347208035250773,0.6933954119082103,27,10.2
6,64,64,0.1,0.001,16,0.009770594931789594,0.008383016212820869,0.6939338204363129,32,11.1
6,32,16,0.3,0.0005,16,0.009808977792739714,0.008333544862244826,0.6896033721810546,71,25.3
6,64,32,0.1,0.001,32,0.009866111027504273,0.00836299353801938,0.6931136900315852,57,10.5
6,64,16,0.2,0.0005,16,0.00993543827987373,0.00862625988974479,0.7108655299996077,52,17.7
6,64,32,0.3,0.001,8,0.010016984702191811,0.00937514294923607,0.7752692883851127,25,9.4
18,64,16,0.2,0.001,8,0.01005224434315188,0.007628199398172923,0.6403866660884826,41,19.1
6,64,32,0.2,0.0005,32,0.010155791855355258,0.008752787774857032,0.7257286103687131,54,11.7
6,128,16,0.2,0.001,32,0.010182524285526236,0.008540804545182147,0.7098471545856655,46,12.6
6,128,32,0.3,0.001,32,0.010206640864635852,0.008273264709258389,0.6895562316064797,35,10.6
6,128,32,0.1,0.001,32,0.010215635608004247,0.008996827674003302,0.7435035813254985,46,15.4
6,32,32,0.2,0.001,8,0.010256712280681918,0.008550328650523334,0.7087191199414349,26,16.4
6,64,32,0.1,0.0005,16,0.010332658336760893,0.009002923009500508,0.7413387964260751,58,12.5
6,64,16,0.1,0.0005,8,0.010348539639599691,0.008679343862659943,0.7227913321707032,58,22.7
6,64,64,0.2,0.0005,8,0.010376756472804508,0.009182791382961205,0.7584676412537901,24,10.3
6,64,32,0.1,0.001,8,0.010459343896362754,0.00917002728781307,0.7613591504479241,24,8.0
18,64,32,0.2,0.001,8,0.010482311424412506,0.00891595699932702,0.7363750611753904,52,22.6
6,64,32,0.2,0.001,8,0.010483876341009186,0.009099065770797566,0.7551443680909844,26,8.9
6,32,64,0.3,0.0005,8,0.01092781246722212,0.009407727592657492,0.7786932542654239,33,13.4
6,64,32,0.2,0.001,16,0.011102696151723624,0.009605466092889215,0.7964417708652723,45,10.9
6,128,64,0.1,0.001,8,0.011115250548002688,0.010264808186852584,0.8420191027279561,18,9.4
6,32,32,0.2,0.0005,32,0.011190156149116977,0.009447277700893585,0.7812864656047231,98,29.9
6,128,16,0.1,0.0005,8,0.011285395711560222,0.010132036524601422,0.8407809372146379,36,14.2
