Modele,Periode,N,RMSE,MAE,MAPE,Gain%_vs_SARIMA
Naif,full_test,36,0.00409,0.00339,0.28,-50.3
Naif,choc_2022,12,0.00597,0.00572,0.49,-119.5
Naif,post_2022,24,0.00269,0.00222,0.18,1.0
SARIMA,full_test,36,0.00272,0.00232,0.19,0.0
SARIMA,choc_2022,12,0.00197,0.0016,0.14,0.0
SARIMA,post_2022,24,0.00303,0.00268,0.22,0.0
SARIMAX_T,full_test,36,0.00327,0.00253,0.21,-20.3
SARIMAX_T,choc_2022,12,0.0038,0.00267,0.23,-39.9
SARIMAX_T,post_2022,24,0.00297,0.00246,0.2,-9.2
SARIMAX_BT,full_test,36,0.00304,0.00241,0.2,-11.9
SARIMAX_BT,choc_2022,12,0.00362,0.00293,0.25,-32.9
SARIMAX_BT,post_2022,24,0.00271,0.00214,0.17,0.2
