Model,Period,RMSE,MAE,MAPE,Recall,Precision,F1,AUC,AP,n_obs,stress_pct,inflation_yoy_mean,stress_threshold_yoy
Naif,Bloc A,1.3763,1.0333,1.0141,0.4286,0.75,0.5455,0.9412,0.6898,24,29.17,0.7921,2.4169
SARIMA,Bloc A,1.9131,1.5468,1.5158,0.4286,0.6,0.5,0.8151,0.4727,24,29.17,0.7921,2.4169
SARIMAX+BESI,Bloc A,1.8067,1.4762,1.4492,0.5714,0.6667,0.6154,0.8151,0.518,24,29.17,0.7921,2.4169
SARIMAX+Hybrid,Bloc A,2.0036,1.6005,1.5711,0.4286,0.6,0.5,0.7311,0.457,24,29.17,0.7921,2.4169
Naif,Bloc B,1.8426,1.3667,1.113,1.0,1.0,1.0,1.0,0.96,36,69.44,8.3306,2.4169
SARIMA,Bloc B,1.9324,1.5277,1.2433,1.0,1.0,1.0,1.0,0.96,36,69.44,8.3306,2.4169
SARIMAX+BESI,Bloc B,1.9761,1.5688,1.2767,1.0,1.0,1.0,1.0,0.96,36,69.44,8.3306,2.4169
SARIMAX+Hybrid,Bloc B,1.9911,1.5525,1.2633,1.0,1.0,1.0,1.0,0.96,36,69.44,8.3306,2.4169
Naif,Pre-2022,1.2124,0.9508,0.9376,0.6667,0.7273,0.6957,0.9306,0.6541,48,25.0,0.5637,2.4169
SARIMA,Pre-2022,1.4424,1.1336,1.1161,0.6667,0.6667,0.6667,0.8681,0.5405,48,25.0,0.5637,2.4169
SARIMAX+BESI,Pre-2022,1.3977,1.111,1.0952,0.75,0.6923,0.72,0.8681,0.5509,48,25.0,0.5637,2.4169
SARIMAX+Hybrid,Pre-2022,1.5018,1.1654,1.1488,0.6667,0.6667,0.6667,0.8333,0.5269,48,25.0,0.5637,2.4169
Naif,Post-2022,1.8426,1.3667,1.113,1.0,1.0,1.0,1.0,0.96,36,69.44,8.3306,2.4169
SARIMA,Post-2022,1.9324,1.5277,1.2433,1.0,1.0,1.0,1.0,0.96,36,69.44,8.3306,2.4169
SARIMAX+BESI,Post-2022,1.9761,1.5688,1.2767,1.0,1.0,1.0,1.0,0.96,36,69.44,8.3306,2.4169
SARIMAX+Hybrid,Post-2022,1.9911,1.5525,1.2633,1.0,1.0,1.0,1.0,0.96,36,69.44,8.3306,2.4169
Naif,Global,1.4831,1.1084,1.0041,0.8919,0.9167,0.9041,0.9816,0.9476,84,44.05,3.8924,2.4169
SARIMA,Global,1.6453,1.283,1.1643,0.8919,0.8919,0.8919,0.9546,0.9219,84,44.05,3.8924,2.4169
SARIMAX+BESI,Global,1.641,1.2845,1.164,0.9189,0.8947,0.9067,0.9574,0.9255,84,44.05,3.8924,2.4169
SARIMAX+Hybrid,Global,1.7039,1.3121,1.1922,0.8919,0.8919,0.8919,0.9442,0.9177,84,44.05,3.8924,2.4169
