center,window_start,window_end,trends_prix_alim,trends_inflation,trends_composite
2018-07-01,2017-01-01,2019-12-01,0.0,0.0,0.0
2018-08-01,2017-02-01,2020-01-01,0.0,0.0,0.0
2018-09-01,2017-03-01,2020-02-01,0.0,0.0,0.0
2018-10-01,2017-04-01,2020-03-01,0.0,0.0,0.0
2018-11-01,2017-05-01,2020-04-01,0.0,0.0,0.0
2018-12-01,2017-06-01,2020-05-01,0.0,0.0,0.0
2019-01-01,2017-07-01,2020-06-01,0.0,0.0,0.0
2019-02-01,2017-08-01,2020-07-01,0.0,0.0,0.0
2019-03-01,2017-09-01,2020-08-01,0.0,0.0,0.0
2019-04-01,2017-10-01,2020-09-01,0.0,0.0,0.0
2019-05-01,2017-11-01,2020-10-01,0.0,0.0,0.0
2019-06-01,2017-12-01,2020-11-01,0.0,0.0,0.0
2019-07-01,2018-01-01,2020-12-01,0.0,0.0,0.0
2019-08-01,2018-02-01,2021-01-01,0.0,0.0,0.0
2019-09-01,2018-03-01,2021-02-01,0.0,0.0,0.0
2019-10-01,2018-04-01,2021-03-01,0.0,0.0,0.0
2019-11-01,2018-05-01,2021-04-01,0.0,0.0,0.0
2019-12-01,2018-06-01,2021-05-01,0.0,0.0,0.0
2020-01-01,2018-07-01,2021-06-01,0.0,0.0,0.0
2020-02-01,2018-08-01,2021-07-01,0.0,0.0,0.0
2020-03-01,2018-09-01,2021-08-01,0.0,0.0,0.0
2020-04-01,2018-10-01,2021-09-01,0.0,0.0,0.0
2020-05-01,2018-11-01,2021-10-01,0.0,0.0,0.0
2020-06-01,2018-12-01,2021-11-01,0.0,0.0,0.0
2020-07-01,2019-01-01,2021-12-01,0.0,0.0,0.0
2020-08-01,2019-02-01,2022-01-01,0.0,0.0,0.0
2020-09-01,2019-03-01,2022-02-01,0.16726680365331606,0.0,0.0
2020-10-01,2019-04-01,2022-03-01,0.4195832240571828,0.0,0.0
2020-11-01,2019-05-01,2022-04-01,1.707712655344152,-0.030127957589733585,-0.0
2020-12-01,2019-06-01,2022-05-01,0.6955664474177878,0.0,0.14214668988581675
2021-01-01,2019-07-01,2022-06-01,0.6838888777125823,0.0,0.20307814697145016
2021-02-01,2019-08-01,2022-07-01,0.8320488265441663,0.0,0.17337852127703007
2021-03-01,2019-09-01,2022-08-01,1.5111811786781408,0.0,0.0
2021-04-01,2019-10-01,2022-09-01,3.5578064578234074,-0.16959113694560718,-0.0
2021-05-01,2019-11-01,2022-10-01,3.4929848387211275,0.0,0.0
2021-06-01,2019-12-01,2022-11-01,3.6990961327820973,-0.0,0.0
2021-07-01,2020-01-01,2022-12-01,2.977874218788849,0.0,0.5561348501627648
2021-08-01,2020-02-01,2023-01-01,3.267397457158966,0.0,0.0522142927870149
2021-09-01,2020-03-01,2023-02-01,2.5753436420749085,0.0,1.0483177323570876
2021-10-01,2020-04-01,2023-03-01,4.756908339970804,0.0,0.7684734205172117
2021-11-01,2020-05-01,2023-04-01,6.851202948751821,0.0,0.06526478166345615
2021-12-01,2020-06-01,2023-05-01,6.674765917699395,0.77440271352482,0.022198610862008823
2022-01-01,2020-07-01,2023-06-01,6.853162376604515,0.8974186916557101,0.024594639393276118
2022-02-01,2020-08-01,2023-07-01,6.179931117260783,1.8422044868457508,0.034159095416582776
2022-03-01,2020-09-01,2023-08-01,5.286919350995233,0.0,2.707820920016614
2022-04-01,2020-10-01,2023-09-01,5.7977546028161875,0.0,2.386727593770041
2022-05-01,2020-11-01,2023-10-01,4.470692982266814,0.0,3.4964510739195034
2022-06-01,2020-12-01,2023-11-01,5.905884124998594,2.0608945098311575,0.028986408716249086
2022-07-01,2021-01-01,2023-12-01,5.899052133881332,1.882611174436646,0.027708466921607253
2022-08-01,2021-02-01,2024-01-01,5.657469509178244,1.9620281944630311,0.026218737267876855
2022-09-01,2021-03-01,2024-02-01,5.86237234164542,1.6185093604629195,0.025588274234293277
2022-10-01,2021-04-01,2024-03-01,6.719488091211845,0.6402070606564988,0.01889074757826969
2022-11-01,2021-05-01,2024-04-01,7.366080565833972,0.024827604103236207,0.0
2022-12-01,2021-06-01,2024-05-01,6.984076367165495,0.3166240563381871,0.0
2023-01-01,2021-07-01,2024-06-01,6.584197717737969,0.47410696499395333,0.009670254609806554
2023-02-01,2021-08-01,2024-07-01,4.789706845432556,0.0,1.690799676651058
2023-03-01,2021-09-01,2024-08-01,1.7773878303936015,0.0,3.9982961952525935
2023-04-01,2021-10-01,2024-09-01,2.2906498667950985,2.958221116384618,0.02442718630181931
2023-05-01,2021-11-01,2024-10-01,2.162315327446574,2.1652481199445788,0.015947906671866876
2023-06-01,2021-12-01,2024-11-01,0.0,0.30782531506400224,2.463619121817582
2023-07-01,2022-01-01,2024-12-01,0.0,0.0,0.0
