center,sarimax_exog_coef
2018-07-01,-3.9871795157921466
2018-08-01,-6.0160603267138875
2018-09-01,-4.924171739532776
2018-10-01,-6.087580051515323
2018-11-01,-6.135283228784148
2018-12-01,-5.646669079053866
2019-01-01,-6.22770659189442
2019-02-01,-7.757794077732421
2019-03-01,-7.737525553646403
2019-04-01,-8.487538567672642
2019-05-01,-7.728098348273953
2019-06-01,-6.594599280434679
2019-07-01,-5.692738587684953
2019-08-01,-3.9510093089110865
2019-09-01,-3.9734542892968436
2019-10-01,-3.3910792028808463
2019-11-01,-3.583834144496104
2019-12-01,-4.199288054883786
2020-01-01,-4.293535848398388
2020-02-01,-3.635044446258276
2020-03-01,-3.7855986843456804
2020-04-01,-3.4446184433672125
2020-05-01,-4.016242339686806
2020-06-01,-4.6806494978599895
2020-07-01,-2.5983733827375404
2020-08-01,-1.4026986321834543
2020-09-01,-0.359654543392779
2020-10-01,0.4488384875485528
2020-11-01,1.5991080069440426
2020-12-01,2.1308549829927923
2021-01-01,1.6793405864568731
2021-02-01,2.0524391748358206
2021-03-01,1.9051315184468185
2021-04-01,0.41469679974064116
2021-05-01,-1.2460595678804596
2021-06-01,-1.9953437093541895
2021-07-01,-2.4237329843436557
2021-08-01,-5.279119621998217
2021-09-01,-4.7159278413044285
2021-10-01,-5.023982807113072
2021-11-01,-5.038555383600569
2021-12-01,-4.412624528284882
2022-01-01,-4.149753924536701
2022-02-01,-4.207336351158036
2022-03-01,-2.385523818305103
2022-04-01,-1.9205232139854425
2022-05-01,-1.533592171197779
2022-06-01,-1.728833856283701
2022-07-01,-1.7231551542815073
2022-08-01,-3.076227511296881
2022-09-01,-2.2477243287748303
2022-10-01,-4.939760668650389
2022-11-01,-5.6954047842824576
2022-12-01,-5.61755405078888
2023-01-01,-6.2229055424924375
2023-02-01,-4.738152674996951
2023-03-01,-2.706834458365336
2023-04-01,-3.1427776276177166
2023-05-01,-3.227857358579949
2023-06-01,-1.03052748629339
2023-07-01,-0.7116364433575559
